Time_Step,Depth_m,Pump_Status,ROP_m_hr,SPP_psi,Flow_In_gpm,Flow_Out_pct,Pit_Volume_bbl,Total_Gas_pct,Gamma_Ray_API,Resistivity_ohm_m,Scenario_Label,BOP_Closed
0,1500.0,1,15.052749545699124,3023.8151302484225,491.6150949265572,101.34366938480105,497.7172807892506,1.0230600036677278,82.6720938297982,1.7756133882423966,0,0
1,1500.5,1,15.520643402845302,3007.8236319311495,498.3575654801845,99.24009618413966,500.91597646498406,0.9127645614082167,83.70741603411962,2.0410830764699734,0,0
2,1501.0,1,14.209708916964415,3037.736865358604,499.65242439718753,99.14863210226822,498.51184302568487,0.8917222251863829,89.94839608104262,1.9111653776890982,0,0
3,1501.5,1,14.591398189923476,3039.431916075801,497.627353838783,100.7638946726094,500.8925096282689,0.6704537568811613,82.21763568054443,1.8708283612001149,0,0
4,1502.0,1,12.456734690561195,3034.0602247880033,491.67564200534906,101.35129472301017,499.0671474779317,0.9347661312364489,81.57682271240645,1.6499972258303264,0,0
5,1502.5,1,9.806242739485972,3036.092891054916,505.0866400096535,99.15665876845694,499.956823824222,0.6959843167407289,91.33304222639265,2.0118189857695485,0,0
6,1503.0,1,15.579361823701094,3026.2178582601978,496.875242538935,100.3788961642555,499.34805644957584,0.8121305524780837,82.98412733906567,1.7848980715155236,0,0
7,1503.5,1,13.253390712375545,3104.6352304550487,495.74684787948024,97.80077350322014,497.4856343544326,0.8917186951337396,82.00227925381357,1.9911677694400307,0,0
8,1504.0,1,15.788145313122566,2960.0563581324204,497.15662740358215,99.59403990198923,497.61380358668924,1.0886988879007624,97.20459764438446,2.1594054889771335,0,0
9,1504.5,1,16.87021108776982,3003.534340818035,494.7835290363504,97.49073043177683,500.6813694947423,0.9025588365570977,84.97927491480107,2.1888042502651803,0,0
10,1505.0,1,14.968630584888025,3016.747791663449,504.97523515952906,99.37210840208697,499.69047227969105,1.0969554101229066,92.40915959601047,1.9412922489520816,0,0
